"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence"
"Col4a6_Cd47","Col4a6","collagen, type IV, alpha 6","Cd47","CD47 molecule","","","","","STRING.binding","","","CD47","","novel","putative"
"Col4a6_Cd93","Col4a6","collagen, type IV, alpha 6","Cd93","CD93 molecule","","","","HPRD","","","","CD93","","novel","literature supported"
"Col4a6_Itga1","Col4a6","collagen, type IV, alpha 6","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col4a6_Itga2","Col4a6","collagen, type IV, alpha 6","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","","STRING.binding","","","ITGA2","","novel","putative"
"Col4a6_Itgav","Col4a6","collagen, type IV, alpha 6","Itgav","integrin, alpha V","","","","","STRING.binding","","","ITGAV","","novel","putative"
"Col4a6_Itgb1","Col4a6","collagen, type IV, alpha 6","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col5a1_Itga1","Col5a1","collagen, type V, alpha 1","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col5a1_Itgb1","Col5a1","collagen, type V, alpha 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col5a1_Sdc3","Col5a1","collagen, type V, alpha 1","Sdc3","syndecan 3","","","","HPRD","","","","SDC3","","novel","literature supported"
"Col5a2_Ddr1","Col5a2","collagen, type V, alpha 2","Ddr1","discoidin domain receptor tyrosine kinase 1","","","","HPRD","","","","DDR1","","novel","literature supported"
"Col5a2_Itga1","Col5a2","collagen, type V, alpha 2","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col5a2_Itgb1","Col5a2","collagen, type V, alpha 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col5a3_Sdc3","Col5a3","collagen, type V, alpha 3","Sdc3","syndecan 3","","HPMR","","","","","COL5A3","SDC3","","known","literature supported"
"Col6a1_Itga1","Col6a1","collagen, type VI, alpha 1","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col6a1_Itga2","Col6a1","collagen, type VI, alpha 1","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","","STRING.binding","","","ITGA2","","novel","putative"
"Col6a1_Itga6","Col6a1","collagen, type VI, alpha 1","Itga6","integrin, alpha 6","","","","","STRING.binding","","","ITGA6","","novel","putative"
"Col6a1_Itgb1","Col6a1","collagen, type VI, alpha 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col6a2_Itga1","Col6a2","collagen, type VI, alpha 2","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col6a2_Itga2","Col6a2","collagen, type VI, alpha 2","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","","STRING.binding","","","ITGA2","","novel","putative"
"Col6a2_Itgb1","Col6a2","collagen, type VI, alpha 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col6a3_Itga1","Col6a3","collagen, type VI, alpha 3","Itga1","integrin, alpha 1","","","","","STRING.binding","","","ITGA1","","novel","putative"
"Col6a3_Itga2","Col6a3","collagen, type VI, alpha 3","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","","STRING.binding","","","ITGA2","","novel","putative"
"Col6a3_Itgb1","Col6a3","collagen, type VI, alpha 3","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"COL7A1_Itga2","COL7A1","collagen, type VII, alpha 1","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","","STRING.binding","","","ITGA2","","novel","putative"
"COL7A1_Itgb1","COL7A1","collagen, type VII, alpha 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","","ITGB1","","novel","putative"
"Col8a1_Itga1","Col8a1","collagen, type VIII, alpha 1","Itga1","integrin, alpha 1","","","","HPRD","","","","ITGA1","","novel","literature supported"
"Col8a1_Itga2","Col8a1","collagen, type VIII, alpha 1","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","HPRD","","","","ITGA2","","novel","literature supported"
"Col9a1_Mag","Col9a1","collagen, type IX, alpha 1","Mag","myelin associated glycoprotein","","","","HPRD","","","","","","novel","literature supported"
"Col9a2_Mag","Col9a2","collagen, type IX, alpha 2","Mag","myelin associated glycoprotein","","","","HPRD","","","","","","novel","literature supported"
"COL9A3_Mag","COL9A3","collagen, type IX, alpha 3","Mag","myelin associated glycoprotein","","","","HPRD","","","","","","novel","literature supported"
"Colq_Musk","Colq","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase","Musk","muscle, skeletal, receptor tyrosine kinase","","","","HPRD","","","","MUSK","","novel","literature supported"
"Cort_Ghsr","Cort","cortistatin","Ghsr","growth hormone secretagogue receptor","","HPMR","","HPRD","","","CORT","GHSR","","known","literature supported"
"Cort_Mrgpra6","Cort","cortistatin","Mrgpra6","MAS-related GPR, member X2","","HPMR","","HPRD","","","CORT","MRGPRX2","","known","literature supported"
"Cort_Sstr1","Cort","cortistatin","Sstr1","somatostatin receptor 1","","HPMR","IUPHAR","HPRD","","STRING.experiment","CORT","SSTR1","","known","literature supported"
"Cort_Sstr2","Cort","cortistatin","Sstr2","somatostatin receptor 2","","HPMR","IUPHAR","HPRD","","","CORT","SSTR2","","known","literature supported"
"Cort_Sstr3","Cort","cortistatin","Sstr3","somatostatin receptor 3","","HPMR","IUPHAR","HPRD","","STRING.experiment","CORT","SSTR3","","known","literature supported"
"Cort_Sstr4","Cort","cortistatin","Sstr4","somatostatin receptor 4","","HPMR","IUPHAR","HPRD","","STRING.experiment","CORT","SSTR4","","known","literature supported"
"Cort_Sstr5","Cort","cortistatin","Sstr5","somatostatin receptor 5","","HPMR","IUPHAR","HPRD","","STRING.experiment","CORT","SSTR5","","known","literature supported"
"CPAMD8_Sctr","CPAMD8","C3 and PZP-like, alpha-2-macroglobulin domain containing 8","Sctr","secretin receptor","","","","HPRD","","","","SCTR","","novel","literature supported"
"Cp_Slc40a1","Cp","ceruloplasmin (ferroxidase)","Slc40a1","solute carrier family 40 (iron-regulated transporter), member 1","","","","","","","","","24921009","novel","literature supported"
"Crh_Crhr1","Crh","corticotropin releasing hormone","Crhr1","corticotropin releasing hormone receptor 1","","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CRH","CRHR1","","known","literature supported"
"Crh_Crhr2","Crh","corticotropin releasing hormone","Crhr2","corticotropin releasing hormone receptor 2","","HPMR","IUPHAR","HPRD","","","CRH","CRHR2","","known","literature supported"
"Crh_Mc2r","Crh","corticotropin releasing hormone","Mc2r","melanocortin 2 receptor (adrenocorticotropic hormone)","","","IUPHAR","","","","CRH","MC2R","","known","literature supported"
"Crp_Olr1","Crp","C-reactive protein, pentraxin-related","Olr1","oxidized low density lipoprotein (lectin-like) receptor 1","","","","","","","","","21821723","novel","literature supported"
"Csf1_Csf1r","Csf1","colony stimulating factor 1 (macrophage)","Csf1r","colony stimulating factor 1 receptor","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CSF1","CSF1R","","known","literature supported"
"Csf2_Csf1r","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf1r","colony stimulating factor 1 receptor","","","IUPHAR","","","","CSF2","CSF1R","","known","literature supported"
"Csf2_Csf2ra","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf2ra","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CSF2","CSF2RA","","known","literature supported"
"Csf2_Csf2rb2","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf2rb2","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","CSF2","CSF2RB","","known","literature supported"
"Csf2_Csf3r","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Csf3r","colony stimulating factor 3 receptor (granulocyte)","","HPMR","","","","","CSF2","CSF3R","","known","literature supported"
"Csf2_IL3RA","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","IL3RA","interleukin 3 receptor, alpha (low affinity)","","","","HPRD","","","CSF2","IL3RA","","novel","literature supported"
"Csf2_Itga9","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Itga9","integrin, alpha 9","","","","","STRING.binding","","CSF2","ITGA9","","novel","putative"
"Csf2_Itgb1","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","CSF2","ITGB1","","novel","putative"
"Csf2_Sdc2","Csf2","colony stimulating factor 2 (granulocyte-macrophage)","Sdc2","syndecan 2","","","","HPRD","STRING.binding","","CSF2","SDC2","","novel","literature supported"
"Csf3_Csf1r","Csf3","colony stimulating factor 3 (granulocyte)","Csf1r","colony stimulating factor 1 receptor","","","IUPHAR","","","","","CSF1R","","known","literature supported"
"Csf3_Csf3r","Csf3","colony stimulating factor 3 (granulocyte)","Csf3r","colony stimulating factor 3 receptor (granulocyte)","DLRP","","IUPHAR","HPRD","","","","CSF3R","","known","literature supported"
"Gh_Prlr","Gh","chorionic somatomammotropin hormone 1 (placental lactogen)","Prlr","prolactin receptor","","","IUPHAR","HPRD","","","","PRLR","","known","literature supported"
"Gh_Prlr","Gh","chorionic somatomammotropin hormone 2","Prlr","prolactin receptor","","","IUPHAR","","","","","PRLR","","known","literature supported"
"Gh_Ghr","Gh","chorionic somatomammotropin hormone-like 1","Ghr","growth hormone receptor","","","","","STRING.binding","STRING.experiment","","GHR","","novel","putative"
"Gh_Prlr","Gh","chorionic somatomammotropin hormone-like 1","Prlr","prolactin receptor","","","IUPHAR","","","","","PRLR","","known","literature supported"
"Ctf1_Il6st","Ctf1","cardiotrophin 1","Il6st","interleukin 6 signal transducer (gp130, oncostatin M receptor)","DLRP","","","HPRD","","","","IL6ST","","known","literature supported"
"Ctf1_Lifr","Ctf1","cardiotrophin 1","Lifr","leukemia inhibitory factor receptor alpha","DLRP","","","HPRD","STRING.binding","","","LIFR","","known","literature supported"
"Ccn2_Erbb4","Ccn2","connective tissue growth factor","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","HPRD","","","CTGF","ERBB4","","novel","literature supported"
"Ccn2_Itga5","Ccn2","connective tissue growth factor","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","","","","","","18167060","novel","literature supported"
"Ccn2_Gm49368","Ccn2","connective tissue growth factor","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","HPMR","","","STRING.binding","","CTGF","ITGAM","","known","literature supported"
"Ccn2_Itgb2l","Ccn2","connective tissue growth factor","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","","STRING.binding","","CTGF","ITGB2","","known","literature supported"
"Ccn2_Lrp1","Ccn2","connective tissue growth factor","Lrp1","low density lipoprotein receptor-related protein 1","","","","HPRD","","","CTGF","LRP1","","novel","literature supported"
"Ccn2_Lrp6","Ccn2","connective tissue growth factor","Lrp6","low density lipoprotein receptor-related protein 6","","HPMR","","","","","CTGF","LRP6","","known","literature supported"
"Ccn2_Ntrk1","Ccn2","connective tissue growth factor","Ntrk1","neurotrophic tyrosine kinase, receptor, type 1","","","","","STRING.binding","","CTGF","NTRK1","15601748","novel","literature supported"
"Cthrc1_Fzd3","Cthrc1","collagen triple helix repeat containing 1","Fzd3","frizzled class receptor 3","","","","","","","","","18606138","novel","literature supported"
"Cthrc1_Fzd5","Cthrc1","collagen triple helix repeat containing 1","Fzd5","frizzled class receptor 5","","","","","STRING.binding","","","FZD5","18606138","novel","literature supported"
"Cthrc1_Fzd6","Cthrc1","collagen triple helix repeat containing 1","Fzd6","frizzled class receptor 6","","","","","STRING.binding","","","FZD6","18606138","novel","literature supported"
"Cubn_Lrp2","Cubn","cubilin (intrinsic factor-cobalamin receptor)","Lrp2","low density lipoprotein receptor-related protein 2","","","","HPRD","STRING.binding","","","LRP2","","novel","literature supported"
"Cx3cl1_Cx3cr1","Cx3cl1","chemokine (C-X3-C motif) ligand 1","Cx3cr1","chemokine (C-X3-C motif) receptor 1","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CX3CL1","CX3CR1","","known","literature supported"
"Cxcl10_Ccr3","Cxcl10","chemokine (C-X-C motif) ligand 10","Ccr3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL10","CCR3","","known","literature supported"
"Cxcl10_Cxcr3","Cxcl10","chemokine (C-X-C motif) ligand 10","Cxcr3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL10","CXCR3","","known","literature supported"
"Cxcl10_Sdc4","Cxcl10","chemokine (C-X-C motif) ligand 10","Sdc4","syndecan 4","","","","","STRING.binding","","CXCL10","SDC4","20484822","novel","literature supported"
"Cxcl11_Ackr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Ackr3","atypical chemokine receptor 3","","","IUPHAR","","","","CXCL11","CMKOR1","","known","literature supported"
"Cxcl11_Ccr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Ccr3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL11","CCR3","","known","literature supported"
"Cxcl11_Cxcr3","Cxcl11","chemokine (C-X-C motif) ligand 11","Cxcr3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL11","CXCR3","","known","literature supported"
"Cxcl12_Ackr3","Cxcl12","chemokine (C-X-C motif) ligand 12","Ackr3","atypical chemokine receptor 3","","HPMR","IUPHAR","","STRING.binding","","CXCL12","CMKOR1","","known","literature supported"
"Cxcl12_Ccr4","Cxcl12","chemokine (C-X-C motif) ligand 12","Ccr4","chemokine (C-C motif) receptor 4","","","","","","STRING.experiment","CXCL12","CCR4","","novel","putative"
"Cxcl12_Cd4","Cxcl12","chemokine (C-X-C motif) ligand 12","Cd4","CD4 molecule","","","","HPRD","","","CXCL12","","","novel","literature supported"
"Cxcl12_Cxcr3","Cxcl12","chemokine (C-X-C motif) ligand 12","Cxcr3","chemokine (C-X-C motif) receptor 3","","HPMR","IUPHAR","","","","CXCL12","CXCR3","","known","literature supported"
"Cxcl12_Cxcr4","Cxcl12","chemokine (C-X-C motif) ligand 12","Cxcr4","chemokine (C-X-C motif) receptor 4","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL12","CXCR4","","known","literature supported"
"Cxcl12_Itgb1","Cxcl12","chemokine (C-X-C motif) ligand 12","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","","","","","18448868","novel","literature supported"
"Cxcl12_Sdc4","Cxcl12","chemokine (C-X-C motif) ligand 12","Sdc4","syndecan 4","","","","","STRING.binding","","CXCL12","SDC4","","novel","putative"
"Cxcl13_Ackr4","Cxcl13","chemokine (C-X-C motif) ligand 13","Ackr4","atypical chemokine receptor 4","","","","HPRD","","","CXCL13","CCRL1","","novel","literature supported"
"Cxcl13_Ccr10","Cxcl13","chemokine (C-X-C motif) ligand 13","Ccr10","chemokine (C-C motif) receptor 10","","","","HPRD","","","CXCL13","CCR10","","novel","literature supported"
"Cxcl13_Cxcr3","Cxcl13","chemokine (C-X-C motif) ligand 13","Cxcr3","chemokine (C-X-C motif) receptor 3","","","","HPRD","STRING.binding","","CXCL13","CXCR3","","novel","literature supported"
"Cxcl13_Cxcr5","Cxcl13","chemokine (C-X-C motif) ligand 13","Cxcr5","chemokine (C-X-C motif) receptor 5","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL13","BLR1","","known","literature supported"
"Cxcl13_Htr2a","Cxcl13","chemokine (C-X-C motif) ligand 13","Htr2a","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","","","","","STRING.binding","","CXCL13","HTR2A","","novel","putative"
"Cxcl13_Oprd1","Cxcl13","chemokine (C-X-C motif) ligand 13","Oprd1","opioid receptor, delta 1","","","","","STRING.binding","","CXCL13","","","novel","putative"
"Cxcl16_Cxcr6","Cxcl16","chemokine (C-X-C motif) ligand 16","Cxcr6","chemokine (C-X-C motif) receptor 6","","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL16","CXCR6","","known","literature supported"
"CXCL1_Cxcr1","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","Cxcr1","chemokine (C-X-C motif) receptor 1","","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL1","IL8RA","","known","literature supported"
"CXCL1_Cxcr2","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","Cxcr2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL1","IL8RB","","known","literature supported"
"CXCL1_DARC","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","DARC","Duffy blood group, atypical chemokine receptor","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","CXCL1","DARC","","known","literature supported"
"CXCL2_Cxcr1","CXCL2","chemokine (C-X-C motif) ligand 2","Cxcr1","chemokine (C-X-C motif) receptor 1","","HPMR","","HPRD","","","CXCL2","IL8RA","","known","literature supported"
"CXCL2_Cxcr2","CXCL2","chemokine (C-X-C motif) ligand 2","Cxcr2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","","","CXCL2","IL8RB","","known","literature supported"
"CXCL2_Xcr1","CXCL2","chemokine (C-X-C motif) ligand 2","Xcr1","chemokine (C motif) receptor 1","","HPMR","","","","","CXCL2","XCR1","","known","literature supported"
"CXCL3_Cxcr1","CXCL3","chemokine (C-X-C motif) ligand 3","Cxcr1","chemokine (C-X-C motif) receptor 1","","HPMR","","HPRD","","","CXCL3","IL8RA","","known","literature supported"
"CXCL3_Cxcr2","CXCL3","chemokine (C-X-C motif) ligand 3","Cxcr2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","","CXCL3","IL8RB","","known","literature supported"
"CXCL5_Cxcr1","CXCL5","chemokine (C-X-C motif) ligand 5","Cxcr1","chemokine (C-X-C motif) receptor 1","DLRP","HPMR","","HPRD","","STRING.experiment","CXCL5","IL8RA","","known","literature supported"
"CXCL5_Cxcr2","CXCL5","chemokine (C-X-C motif) ligand 5","Cxcr2","chemokine (C-X-C motif) receptor 2","DLRP","","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL5","IL8RB","","known","literature supported"
"CXCL5_DARC","CXCL5","chemokine (C-X-C motif) ligand 5","DARC","Duffy blood group, atypical chemokine receptor","","","","HPRD","","","CXCL5","DARC","","novel","literature supported"
"Cxcl5_Cxcr1","Cxcl5","chemokine (C-X-C motif) ligand 6","Cxcr1","chemokine (C-X-C motif) receptor 1","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL6","IL8RA","","known","literature supported"
"Cxcl5_Cxcr2","Cxcl5","chemokine (C-X-C motif) ligand 6","Cxcr2","chemokine (C-X-C motif) receptor 2","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","","CXCL6","IL8RB","","known","literature supported"
"Cxcl9_Ccr3","Cxcl9","chemokine (C-X-C motif) ligand 9","Ccr3","chemokine (C-C motif) receptor 3","","","IUPHAR","HPRD","","","CXCL9","CCR3","","known","literature supported"
"Cxcl9_Cxcr3","Cxcl9","chemokine (C-X-C motif) ligand 9","Cxcr3","chemokine (C-X-C motif) receptor 3","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","CXCL9","CXCR3","","known","literature supported"
"Ccn1_Cav1","Ccn1","cysteine-rich, angiogenic inducer, 61","Cav1","caveolin 1, caveolae protein, 22kDa","","","","","STRING.binding","","CYR61","","","novel","putative"
"Ccn1_Itga5","Ccn1","cysteine-rich, angiogenic inducer, 61","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","CYR61","ITGA5","","known","literature supported"
"Ccn1_Gm49368","Ccn1","cysteine-rich, angiogenic inducer, 61","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","HPMR","","","STRING.binding","","CYR61","ITGAM","","known","literature supported"
"Ccn1_Itgav","Ccn1","cysteine-rich, angiogenic inducer, 61","Itgav","integrin, alpha V","","","","HPRD","STRING.binding","STRING.experiment","CYR61","ITGAV","","novel","literature supported"
"Ccn1_Itgb2l","Ccn1","cysteine-rich, angiogenic inducer, 61","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","","STRING.binding","","CYR61","ITGB2","","known","literature supported"
"Ccn1_Itgb3","Ccn1","cysteine-rich, angiogenic inducer, 61","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","CYR61","ITGB3","","known","literature supported"
"Ccn1_Itgb5","Ccn1","cysteine-rich, angiogenic inducer, 61","Itgb5","integrin, beta 5","","","","HPRD","STRING.binding","","CYR61","ITGB5","","novel","literature supported"
"Dcn_Egfr","Dcn","decorin","Egfr","epidermal growth factor receptor","","","","HPRD","STRING.binding","STRING.experiment","","EGFR","","novel","literature supported"
"Dcn_Erbb4","Dcn","decorin","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","","STRING.binding","","","ERBB4","10942781","novel","literature supported"
"Dcn_Met","Dcn","decorin","Met","met proto-oncogene","","","","","","","","","10942781","novel","literature supported"
"Defb14_Ccr6","Defb14","defensin, beta 103A","Ccr6","chemokine (C-C motif) receptor 6","","","","HPRD","","","","CCR6","","novel","literature supported"
"Defb14_Ccr2","Defb14","defensin, beta 103B","Ccr2","chemokine (C-C motif) receptor 2","","","","","","","","","23390582","novel","literature supported"
"Defb14_Ccr6","Defb14","defensin, beta 103B","Ccr6","chemokine (C-C motif) receptor 6","","","","","","","","","23390582","novel","literature supported"
"DEFB1_Ccr6","DEFB1","defensin, beta 1","Ccr6","chemokine (C-C motif) receptor 6","","","","HPRD","STRING.binding","","DEFB1","CCR6","","novel","literature supported"
"DEFB4A_Ccr6","DEFB4A","defensin, beta 4A","Ccr6","chemokine (C-C motif) receptor 6","","","IUPHAR","HPRD","STRING.binding","","","CCR6","","known","literature supported"
"DEFB4A_Tlr4","DEFB4A","defensin, beta 4A","Tlr4","toll-like receptor 4","","","","HPRD","","","","TLR4","","novel","literature supported"
"DEFB4B_Ccr6","DEFB4B","defensin, beta 4B","Ccr6","chemokine (C-C motif) receptor 6","","","IUPHAR","","","","","CCR6","","known","literature supported"
"Dhh_Boc","Dhh","desert hedgehog","Boc","BOC cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","DHH","BOC","20519495","novel","literature supported"
"Dhh_Cdon","Dhh","desert hedgehog","Cdon","cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","DHH","CDON","20519495","novel","literature supported"
"Dhh_Hhip","Dhh","desert hedgehog","Hhip","hedgehog interacting protein","","HPMR","","HPRD","STRING.binding","STRING.experiment","DHH","HHIP","","known","literature supported"
"Dhh_Ptch1","Dhh","desert hedgehog","Ptch1","patched 1","","","","HPRD","STRING.binding","","DHH","PTCH","","novel","literature supported"
"Dhh_Ptch2","Dhh","desert hedgehog","Ptch2","patched 2","","HPMR","","HPRD","STRING.binding","","DHH","PTCH2","","known","literature supported"
"Dkk1_Kremen1","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Kremen1","kringle containing transmembrane protein 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK1","KREMEN1","","known","literature supported"
"Dkk1_Kremen2","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Kremen2","kringle containing transmembrane protein 2","","HPMR","","","STRING.binding","","DKK1","KREMEN2","","known","literature supported"
"Dkk1_Lrp5","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Lrp5","low density lipoprotein receptor-related protein 5","","","","HPRD","STRING.binding","","DKK1","LRP5","","novel","literature supported"
"Dkk1_Lrp6","Dkk1","dickkopf WNT signaling pathway inhibitor 1","Lrp6","low density lipoprotein receptor-related protein 6","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK1","LRP6","","known","literature supported"
"Dkk2_Kremen2","Dkk2","dickkopf WNT signaling pathway inhibitor 2","Kremen2","kringle containing transmembrane protein 2","","","","","STRING.binding","","DKK2","KREMEN2","12527209","novel","literature supported"
"Dkk2_Lrp6","Dkk2","dickkopf WNT signaling pathway inhibitor 2","Lrp6","low density lipoprotein receptor-related protein 6","","HPMR","","HPRD","STRING.binding","STRING.experiment","DKK2","LRP6","","known","literature supported"
"Dlk1_Notch1","Dlk1","delta-like 1 homolog (Drosophila)","Notch1","notch 1","DLRP","","","","STRING.binding","","","NOTCH1","21419176","known","literature supported"
"Dlk1_Notch2","Dlk1","delta-like 1 homolog (Drosophila)","Notch2","notch 2","DLRP","","","","","","","NOTCH2","","known","putative"
"Dlk1_Notch3","Dlk1","delta-like 1 homolog (Drosophila)","Notch3","notch 3","DLRP","","","","","","","NOTCH3","","known","putative"
"Dlk1_NOTCH4","Dlk1","delta-like 1 homolog (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","","NOTCH4","","known","putative"
"Dlk2_Notch1","Dlk2","delta-like 2 homolog (Drosophila)","Notch1","notch 1","","","","","","","","","21419176","novel","literature supported"
"Dll1_Notch1","Dll1","delta-like 1 (Drosophila)","Notch1","notch 1","DLRP","HPMR","","HPRD","STRING.binding","","DLL1","NOTCH1","","known","literature supported"
"Dll1_Notch2","Dll1","delta-like 1 (Drosophila)","Notch2","notch 2","DLRP","","","HPRD","STRING.binding","STRING.experiment","DLL1","NOTCH2","","known","literature supported"
"Dll1_Notch3","Dll1","delta-like 1 (Drosophila)","Notch3","notch 3","DLRP","","","HPRD","STRING.binding","STRING.experiment","DLL1","NOTCH3","","known","literature supported"
"Dll1_NOTCH4","Dll1","delta-like 1 (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","DLL1","NOTCH4","","known","putative"
"Dll3_Notch1","Dll3","delta-like 3 (Drosophila)","Notch1","notch 1","DLRP","","","","","","DLL3","NOTCH1","","known","putative"
"Dll3_Notch2","Dll3","delta-like 3 (Drosophila)","Notch2","notch 2","DLRP","","","","","","DLL3","NOTCH2","","known","putative"
"Dll3_Notch3","Dll3","delta-like 3 (Drosophila)","Notch3","notch 3","DLRP","","","","","","DLL3","NOTCH3","","known","putative"
"Dll3_NOTCH4","Dll3","delta-like 3 (Drosophila)","NOTCH4","notch 4","DLRP","","","","","","DLL3","NOTCH4","","known","putative"
