	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Rps3	0	0.26939845011698	0.998	0.995	0
Rpl4	0	0.268747356790312	0.984	0.967	0
Atp6v1f	0	0.267839576812704	0.887	0.804	0
Tlr7	0	0.267080549804732	0.25	0.023	0
Rab7	0	0.266948104395378	0.779	0.704	0
Slc37a2	0	0.26619718969535	0.262	0.024	0
Rpl23	0	0.264583613331571	0.998	0.995	0
Wsb1	0	0.264269646607967	0.519	0.349	0
Ptpre	0	0.264170640272779	0.385	0.154	0
Rpl19	0	0.262113193840846	0.997	0.994	0
Rps5	0	0.261000826400175	0.995	0.996	0
Rgs19	0	0.260506423612949	0.376	0.134	0
Ly6c2	0	0.260176626091408	0.116	0.037	0
Lrrfip1	0	0.260077183020989	0.494	0.303	0
Apoc4	0	0.259975694470248	0.13	0.016	0
Rbpj	0	0.25990789482335	0.347	0.216	0
Ltb4r1	0	0.259719409058851	0.117	0.015	0
Ang	0	0.258935361611628	0.368	0.145	0
Sirpb1c	0	0.258879776494122	0.176	0.013	0
Anxa3	0	0.258533226704368	0.796	0.544	0
Ccr2	0	0.258052072483636	0.121	0.015	0
Cd36	0	0.256612633932111	0.131	0.015	0
Prcp	0	0.256402576873782	0.44	0.195	0
B4galnt1	0	0.255985447148056	0.298	0.068	0
Dok3	0	0.255089939150712	0.267	0.043	0
Tln1	0	0.252736187842701	0.59	0.428	0
Sgpl1	0	0.252305881073912	0.371	0.153	0
Cytip	0	0.251110185290558	0.142	0.023	0
Gcnt1	0	0.250363350403462	0.242	0.044	0
Rpl23a-ps3	0	0.250059595743023	0.412	0.276	0
Ldhb	9.67669393910355e-297	0.260565294104978	0.547	0.426	2.05378152163534e-292
Plac8	1.00515926417145e-290	0.381157370715131	0.107	0.033	2.13335002227748e-286
H2-Aa	2.07324703541697e-290	1.02039185367918	0.11	0.036	4.40025950796897e-286
Kdm6b	2.08980219562844e-283	0.297920775288537	0.481	0.366	4.43539618000181e-279
Itm2b	5.92356233944228e-271	0.267597371822169	0.99	0.994	1.25721687092323e-266
Eif5a	4.50116693390229e-227	0.276042048894252	0.888	0.863	9.55327670051423e-223
Mxd1	4.41613041269551e-176	0.462789454195481	0.178	0.105	9.37279518790495e-172
Ccnl1	1.28263753733505e-147	0.25372909162768	0.54	0.454	2.72226990923991e-143
Zfand5	2.59186985344986e-130	0.253898405217108	0.6	0.527	5.50098457696197e-126
Crip1	5.74571072704378e-126	0.444055199561176	0.608	0.572	1.21946964470777e-121
Ecm1	7.55503283226653e-102	0.258884569761378	0.338	0.279	1.60348016832025e-97
G0s2	4.57099715162206e-92	0.475035114778342	0.086	0.14	9.70148435460265e-88
Gng10	1.32912019637899e-81	0.274571218212876	0.208	0.159	2.82092470479477e-77
Ifitm1	3.58800760770175e-65	0.296376804321348	0.139	0.192	7.61518734658619e-61
Retnlg	2.1742922488904e-38	2.05643687408361	0.126	0.097	4.61471786904499e-34
Prdx1	3.0399343750691e-33	0.275928827001205	0.947	0.973	6.45195671764667e-29
S100a9	4.54691316102311e-27	2.06792046428255	0.335	0.3	9.65036849295546e-23
S100a6	0.863962680681505	0.398680852741031	0.474	0.524	1
